Session_Connection_Time,Bytes Transferred,Kali_Trace_Used,Servers_Corrupted,Pages_Corrupted,Location,WPM_Typing_Speed,hack
8,391.09,1,2.96,7,Slovenia,72.37,1
20,720.99,0,3.04,9,British Virgin Islands,69.08,1
31,356.32,1,3.71,8,Tokelau,70.58,1
2,228.08,1,2.48,8,Bolivia,70.8,1
20,408.5,0,3.57,8,Iraq,71.28,1
1,390.69,1,2.79,9,Marshall Islands,71.57,1
18,342.97,1,5.1,7,Georgia,72.32,1
22,101.61,1,3.03,7,Timor-Leste,72.03,1
15,275.53,1,3.53,8,Palestinian Territory,70.17,1
12,424.83,1,2.53,8,Bangladesh,69.99,1
15,249.09,1,3.39,9,Northern Mariana Islands,70.77,1
32,242.48,0,4.24,8,Zimbabwe,67.93,1
23,514.54,0,3.18,8,Isle of Man,68.56,1
9,284.77,0,3.12,9,Sao Tome and Principe,70.82,1
27,779.25,1,2.37,8,Greece,72.73,1
12,307.31,1,3.22,7,Solomon Islands,67.95,1
21,355.94,1,2,7,Guinea-Bissau,72,1
10,372.65,0,3.33,7,Burkina Faso,69.19,1
20,347.23,1,2.33,7,Mongolia,70.41,1
22,456.57,0,1.52,8,Nigeria,69.35,1
25,582.03,0,3.29,7,Kazakhstan,69.85,1
19,67.17,0,3.25,7,Faroe Islands,69.73,1
16,410.08,1,3.07,8,Lebanon,68.49,1
18,393.15,0,2.25,8,Guyana,70.87,1
34,11.04,0,2.31,8,Botswana,72,1
30,309.84,0,3.8,9,Zambia,70.98,1
20,415.39,1,3.47,7,Mexico,69.98,1
23,537.94,1,2.96,7,Mongolia,68.74,1
21,206.31,0,2.75,8,Gibraltar,68.82,1
20,192.85,1,2.21,8,Bhutan,73.1,1
28,311.81,0,2.05,8,Mayotte,69.29,1
19,429.56,1,2.95,8,Guernsey,68.94,1
19,472.38,0,1.54,8,Saint Barthelemy,70.82,1
26,607.31,0,1.55,7,Cambodia,72.2,1
18,566.97,1,2.82,7,Tuvalu,71.37,1
33,364.88,0,3.52,7,Philippines,74.24,1
21,169.89,0,4.78,9,Armenia,67.93,1
20,287.06,1,1.71,8,Nicaragua,71.75,1
29,225.58,0,3.4,8,Mauritania,71.25,1
16,522.88,1,3.71,8,Algeria,72.74,1
21,337.15,1,3.9,8,Azerbaijan,71.47,1
15,275.09,0,2.5,9,Algeria,72.95,1
20,60.16,0,3.81,8,Sri Lanka,69.97,1
23,358.54,1,2.25,8,Nauru,73.1,1
8,231.64,0,2.97,8,Palestinian Territory,67.08,1
22,274.24,1,2.1,8,Heard Island and McDonald Islands,68.81,1
29,372.86,0,1.77,8,Mauritania,70.63,1
20,710.55,0,3.71,8,Christmas Island,70.37,1
16,89.49,1,1.8,8,Holy See (Vatican City State),74.92,1
11,447.05,0,2.67,7,Haiti,69.95,1
15,628.38,1,2.9,8,Japan,71.81,1
9,430.16,0,3.41,9,Syrian Arab Republic,72.26,1
2,343.1,1,2.74,8,Albania,70.64,1
13,416.9,1,2.76,8,United States Virgin Islands,71.63,1
9,549.52,1,5.11,9,Guernsey,70.4,1
25,369,0,3.05,7,Israel,70.68,1
22,184.63,0,3.45,8,Czech Republic,68.27,1
7,10,1,3.71,8,Sri Lanka,70.09,1
21,270.53,0,4.2,8,Bhutan,70.28,1
18,385.3,0,3.3,9,Malaysia,68.36,1
4,295.79,0,2.75,8,Maldives,73.15,1
15,322.91,0,2.72,7,Norway,69.02,1
16,316.42,0,3.39,9,South Africa,70.89,1
